Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Actual_Attrition,Predicted_Attrition,Attrition_Probability,Risk_Category,Actual_Attrition_Label,Predicted_Attrition_Label,SHAP_OverTime_Yes,SHAP_Age,SHAP_MonthlyIncome,SHAP_StockOptionLevel,SHAP_YearsWithCurrManager,SHAP_YearsAtCompany,SHAP_NumCompaniesWorked,SHAP_TotalWorkingYears,SHAP_DistanceFromHome,SHAP_EnvironmentSatisfaction
51,0,Travel_Frequently,968,Research & Development,6,2,Medical,2,Female,40,2,1,Laboratory Technician,3,Single,2838,4257,0,No,14,3,2,0,8,6,2,7,0,7,7,0,0,0.165,Low Risk,Stayed,Predicted Stay,-0.02811654040382109,-0.017328115170892035,0.012972779601043385,0.015392157305020646,-0.003723872591858708,-0.00396441016758672,-0.02272876277384512,0.0003262392230840305,-0.005561612547110144,-0.0021903986409870413
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2,0,0,0.425,Medium Risk,Stayed,Predicted Stay,0.11018076843925428,0.04089767686108644,0.04720241697171104,0.03026835510353294,-0.011554444376379251,-0.00010866869770325139,-0.0072046121054040665,0.009772326951915601,-0.005360589834824622,-0.007347519847155581
41,0,Travel_Rarely,645,Sales,1,3,Marketing,2,Male,49,4,3,Sales Executive,1,Married,8392,19566,1,No,16,3,3,1,10,2,3,10,7,0,7,0,0,0.09,Low Risk,Stayed,Predicted Stay,-0.016108590767125862,-0.015846741984710207,0.003999754702044811,-0.015049517909042152,-0.007789681958932988,-0.006280928917346955,-0.011183308074782872,0.0011081806035235786,-0.017416496628923993,0.0016570238635040368
38,0,Non-Travel,1327,Sales,2,2,Life Sciences,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,1,13,0,3,8,7,7,5,0,0,0.055,Low Risk,Stayed,Predicted Stay,-0.015042715293498076,-0.013680067999546281,-0.008895690156873571,-0.01459599755599811,-0.010751123759096117,-0.005379174471822807,-0.011430321127079424,-0.004327976758402201,-0.014147727380004653,-0.009035649979477967
30,0,Travel_Rarely,946,Research & Development,2,3,Medical,3,Female,52,2,2,Manufacturing Director,4,Single,6877,20234,5,Yes,24,4,2,0,12,4,2,0,0,0,0,0,0,0.285,Low Risk,Stayed,Predicted Stay,0.050413683384663274,0.03947141059861451,-0.024183477518452037,0.033716430581998795,0.02073210492397493,0.04288226552500191,0.01650886733162906,-0.011467981591817989,-0.014819408376426963,-0.011701439295732143
35,0,Travel_Rarely,287,Research & Development,1,4,Life Sciences,3,Female,62,1,1,Research Scientist,4,Married,2977,8952,1,No,12,3,4,1,4,5,3,4,3,1,1,0,0,0.08,Low Risk,Stayed,Predicted Stay,-0.025975019848160627,-0.007576269895710083,0.001654446308016304,-0.015511078697034008,0.006504255079057657,-0.00448808441601841,-0.01105423884461743,0.0038013583059978372,-0.01651414689946705,-0.00925298519605576
29,1,Travel_Rarely,341,Sales,1,3,Medical,2,Female,48,2,1,Sales Representative,3,Divorced,2800,23522,6,Yes,19,3,3,3,5,3,3,3,2,0,2,1,0,0.3,Low Risk,Left,Predicted Stay,0.0703649276715555,0.04062340372709741,0.01800811330113447,-0.03229825394713089,-0.006368551409193515,0.0022218471988458078,0.021875221843145026,0.012934027889059507,-0.026347776064976642,0.0052629329290994065
31,1,Travel_Rarely,330,Research & Development,22,4,Medical,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Yes,15,3,4,2,10,3,2,10,2,6,7,1,0,0.105,Low Risk,Left,Predicted Stay,0.03468909635781529,0.007313250389620407,-0.020953113129953637,-0.026904917035953987,-0.006462664035518628,-0.011752400730879345,-0.009341884933301117,-0.0019195525727241148,0.013727238476024013,-0.010484963928911383
45,0,Travel_Rarely,1457,Research & Development,7,3,Medical,1,Female,83,3,1,Research Scientist,3,Married,4477,20100,4,Yes,19,3,3,1,7,2,2,3,2,0,2,0,0,0.09,Low Risk,Stayed,Predicted Stay,0.03792259558002115,-0.032864877402273576,-0.013615103242743771,-0.023750979976314854,-0.005668191392578592,-0.00333248071656044,0.0016870160834457693,0.007101230235939511,-0.00453201531333093,0.018128014070607604
40,0,Non-Travel,1142,Research & Development,8,2,Life Sciences,4,Male,72,3,2,Healthcare Representative,4,Divorced,4069,8841,3,Yes,18,3,3,0,8,2,3,2,2,2,2,0,0,0.07,Low Risk,Stayed,Predicted Stay,0.042082523613489686,-0.03078436144305897,-0.007272041781620828,0.01667293659174902,-0.007752916620693213,0.011419503913780318,-0.007547162702990135,0.0025289322507819636,-0.004883091612553017,-0.015102638925159227
28,0,Travel_Rarely,857,Research & Development,10,3,Other,3,Female,59,3,2,Research Scientist,3,Single,3660,7909,3,No,13,3,4,0,10,4,4,8,7,1,7,0,0,0.07,Low Risk,Stayed,Predicted Stay,-0.032579637455569355,0.012064751099014757,0.0032782341885854295,0.01119496040973445,-0.007766926362764934,-0.010107436848388716,-0.010654334461239614,0.00032820712455077227,0.00036114365633238777,-0.01022162157505136
25,0,Travel_Rarely,891,Sales,4,2,Life Sciences,2,Female,99,2,2,Sales Executive,4,Single,4487,12090,1,Yes,11,3,2,0,5,3,3,5,4,1,3,0,0,0.18,Low Risk,Stayed,Predicted Stay,0.05977346678378126,0.01958032285224135,-0.022528621811406992,0.015927757982212826,-0.008699545371996464,-0.007755440130149509,-0.014803915976672214,0.004406174304112938,-0.012324996351908339,0.004603593166625615
42,0,Travel_Rarely,855,Research & Development,12,3,Medical,2,Male,57,3,1,Laboratory Technician,2,Divorced,2766,8952,8,No,22,4,2,3,7,6,2,5,3,0,4,0,0,0.14,Low Risk,Stayed,Predicted Stay,-0.028645052247629792,-0.0223021988347773,0.009131805451092987,-0.017996538610323114,-0.0046234000413005565,-0.005905160589013576,0.02438628793501266,0.0060649044403362495,0.007955515925405053,-0.004380275947480641
51,1,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3,1,0,0.095,Low Risk,Left,Predicted Stay,-0.01934652422335603,-0.014974060260594797,-0.009356590956301716,0.011322289004797313,-0.006286875841840356,-0.0018473773389678172,-0.009913809515794583,-0.01667982874395875,-0.004353513688761268,0.023882310664725993
35,0,Travel_Rarely,882,Sales,3,4,Life Sciences,4,Male,92,3,3,Sales Executive,4,Divorced,7823,6812,6,No,13,3,2,1,12,2,3,10,9,0,8,0,0,0.06,Low Risk,Stayed,Predicted Stay,-0.013008531886471246,-0.016251975163686438,-0.007189246020996052,-0.016886076872456215,-0.010272371974276667,-0.007893273892636898,0.019750429355742654,0.0008903841635992649,-0.009546298741349801,-0.009244834071987498
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1,0,0.05,Low Risk,Left,Predicted Stay,-0.014831765955937043,-0.016906722705718948,-0.01715834062735894,0.011525925432435998,-0.008764424626588153,-0.0077553518362719846,-0.00646139611423223,-0.01653071802927343,0.005164778170608315,-0.002052559494652542
35,0,Travel_Rarely,819,Research & Development,18,5,Life Sciences,2,Male,48,4,2,Research Scientist,1,Married,5208,26312,1,No,11,3,4,0,16,2,3,16,15,1,10,0,0,0.065,Low Risk,Stayed,Predicted Stay,-0.014105921827649581,-0.0024339953304547634,-0.014536029950786542,0.015717786904988314,-0.010786755049364273,-0.008165093857357988,-0.009603703117145415,-0.010402776060839187,0.0036730158748059694,0.00021053397013020002
48,0,Travel_Rarely,969,Research & Development,2,2,Technical Degree,4,Male,76,4,1,Laboratory Technician,2,Single,2559,16620,5,No,11,3,3,0,7,4,2,1,0,0,0,0,0,0.175,Low Risk,Stayed,Predicted Stay,-0.0341447835228746,-0.05296829692388428,0.01984960385667591,0.01592480702646071,0.028980773782732287,0.024721111748910972,0.008675360915015062,0.0033357955352425962,-0.013256554833826612,-0.01565158494911202
45,0,Travel_Rarely,252,Research & Development,2,3,Life Sciences,2,Female,95,2,1,Research Scientist,3,Single,2274,6153,1,No,14,3,4,0,1,3,3,1,0,0,0,0,0,0.235,Low Risk,Stayed,Predicted Stay,-0.03567585121943239,-0.03994145691928452,0.047028705654201135,0.011677866257696224,0.030966122182217077,0.028958265031761243,-0.0029732299541910833,0.05513874216910836,-0.014496861562545291,-0.003260564389349838
49,0,Travel_Rarely,174,Sales,8,4,Technical Degree,4,Male,56,2,4,Sales Executive,2,Married,13120,11879,6,No,17,3,2,1,22,3,3,9,8,2,3,0,0,0.19,Low Risk,Stayed,Predicted Stay,-0.014884421087972442,-0.0013247710178188755,-0.011713795127921003,-0.020174235158469854,-0.0056469714858303635,-0.0002154419446878819,0.020658587758928208,-0.009576239276887008,-0.0012701496982640492,-0.010025144337816982
34,0,Travel_Rarely,546,Research & Development,10,3,Life Sciences,2,Male,83,3,1,Laboratory Technician,2,Divorced,2008,6896,1,No,14,3,2,2,1,3,3,1,0,1,0,0,0,0.36,Low Risk,Stayed,Predicted Stay,-0.03802031371984413,-0.010352272081636329,0.05670823048428701,-0.02314450053965629,0.05801571055822933,0.051191432120281204,-0.0017147059705303037,0.057757842785478034,0.002294405402044504,0.004002869828698294
33,1,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,Male,70,3,1,Research Scientist,1,Single,3348,3164,1,Yes,11,3,1,0,10,3,3,10,8,9,7,1,0,0.375,Low Risk,Left,Predicted Stay,0.057340521034373065,0.017641675776019383,0.020102639102583454,0.0317039738461267,0.0007325325818646888,-0.006878578516666494,-0.008717802972951176,0.006003086345024258,-0.015179651842954627,0.021307878728916877
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0,0,0.08,Low Risk,Stayed,Predicted Stay,-0.022241204925098828,-0.017905385495375868,-0.020163058768769133,0.006826919281938899,-0.003988317076202747,-0.0048068579000482715,-0.0032564279533971786,-0.01330764259082116,-0.007875840604060613,0.01847372833479085
27,0,Travel_Rarely,954,Sales,9,3,Marketing,4,Male,44,3,2,Sales Executive,4,Single,4105,5099,1,No,14,3,1,0,7,5,3,7,7,0,7,0,0,0.035,Low Risk,Stayed,Predicted Stay,-0.028137757942072312,-0.0006675775382700522,-0.0054153895587432995,0.007893035777151454,-0.009723273761194378,-0.010658093395700235,-0.016144812411644126,0.0009695257389330436,-0.0016577002034091493,-0.014764612224207668
30,0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,No,13,3,1,3,10,4,2,10,7,8,9,0,0,0.08,Low Risk,Stayed,Predicted Stay,-0.02805646818486366,0.010112545180202232,0.0033873466967929743,-0.015306311392075713,-0.016698811328524243,-0.00784662150408849,-0.0070464087193659,-0.0001583909904070424,-0.0035670021449823253,-0.008736204899214499
31,1,Non-Travel,335,Research & Development,9,2,Medical,3,Male,46,2,1,Research Scientist,1,Single,2321,10322,0,Yes,22,4,1,0,4,0,3,3,2,1,2,1,0,0.385,Low Risk,Left,Predicted Stay,0.08076851363168544,0.024805873048733246,0.048730319240569316,0.022298847365759683,-0.00984065466859647,0.00039761196543167896,-0.04561745169013875,0.006591585679523178,0.003265737788460683,-0.010013082589530313
51,0,Travel_Rarely,313,Research & Development,3,3,Medical,4,Female,98,3,4,Healthcare Representative,2,Single,13734,7192,3,No,18,3,3,0,21,6,3,7,7,1,0,0,0,0.08,Low Risk,Stayed,Predicted Stay,-0.01732294742594604,-0.013184179410632168,-0.02704883493324587,0.005654087341074501,0.024845239777841924,-0.0035717063369838796,-0.007429576140386871,-0.014213766337506968,-0.009124989267156706,-0.00852981970873543
24,0,Travel_Rarely,477,Research & Development,24,3,Medical,4,Male,49,3,1,Laboratory Technician,2,Single,3597,6409,8,No,22,4,4,0,6,2,3,4,3,1,2,0,0,0.26,Low Risk,Stayed,Predicted Stay,-0.037991749485531724,0.020992757950650684,0.0034364250599401205,0.021088268436519685,-0.006907674902297458,-0.001283888818370542,0.025541751507091703,0.008258272172745364,0.01755545813818799,-0.017354821450614965
43,0,Travel_Rarely,1034,Sales,16,3,Marketing,4,Female,80,3,4,Manager,4,Married,16064,7744,5,Yes,22,4,3,1,22,3,3,17,13,1,9,0,0,0.035,Low Risk,Stayed,Predicted Stay,0.01555538853805274,-0.021262158613305927,-0.02286116347630923,-0.017349512518917434,-0.009023679760935011,-0.00675623201569806,0.009770462293945457,-0.021595598402468566,0.0027053860918067585,-0.01024047028379755
56,0,Travel_Rarely,1443,Sales,11,5,Marketing,4,Female,89,2,2,Sales Executive,1,Married,5380,20328,4,No,16,3,3,1,6,3,3,0,0,0,0,0,0,0.11,Low Risk,Stayed,Predicted Stay,-0.016306522492532168,-0.024887047431743668,-0.01134522365001203,-0.023958789721705218,0.016736848867972186,0.002581567334216288,-0.0010187806575618196,0.0041020725745715934,0.003995634992706982,-0.011450662055924567
30,0,Travel_Rarely,241,Research & Development,7,3,Medical,2,Male,48,2,1,Research Scientist,2,Married,2141,5348,1,No,12,3,2,1,6,3,2,6,4,1,1,0,0,0.115,Low Risk,Stayed,Predicted Stay,-0.04060723830938514,0.01893645210242994,0.032054352470677255,-0.01578360215338762,0.005465786479396684,-0.012912770485695547,-0.011833461424248525,0.0005720166399714798,-0.005137880493880403,-0.002055229069592315
34,0,Travel_Rarely,1480,Sales,4,3,Life Sciences,3,Male,64,3,3,Sales Executive,4,Married,9713,24444,2,Yes,13,3,4,3,9,3,3,5,3,1,0,0,0,0.12,Low Risk,Stayed,Predicted Stay,0.02618335150243638,-0.0018329202625091056,-0.008982766900203387,-0.021145602618660178,0.01792566017347326,-0.006956987763048801,-0.009062043635067312,-0.0031020869381472947,-0.012047215018967564,-0.011633611120178102
23,0,Travel_Rarely,160,Research & Development,4,1,Medical,3,Female,51,3,1,Laboratory Technician,2,Single,3295,12862,1,No,13,3,3,0,3,3,1,3,2,1,2,0,0,0.205,Low Risk,Stayed,Predicted Stay,-0.038695457985766096,0.025840998880566984,0.007470273756916867,0.020126895740086182,-0.010382487270949241,-0.003653859947592082,-0.00748363451163641,0.010494424700768832,-0.01287882389049173,-0.006844213523570488
35,0,Travel_Frequently,146,Research & Development,2,4,Medical,1,Male,79,2,1,Research Scientist,4,Single,4930,13970,0,Yes,14,3,3,0,6,2,4,5,4,1,4,0,0,0.17,Low Risk,Stayed,Predicted Stay,0.038381187293937274,-0.011182701524562617,-0.01644611409953086,0.017138425423395345,-0.005062320853427309,-0.007201114131333668,-0.025440466738407396,0.007364384987527046,-0.0172472271095819,0.027771641935939898
39,0,Travel_Rarely,1431,Research & Development,1,4,Medical,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,No,14,3,3,3,7,1,3,3,2,1,2,0,0,0.09,Low Risk,Stayed,Predicted Stay,-0.03008418294652529,-0.02058371406427568,0.015556866850258757,-0.013134965809915683,-0.008848656169957394,-0.005789637434868382,0.016965945246165574,0.006554202823067499,-0.01108749831180603,-0.003945853200107195
28,0,Travel_Rarely,304,Sales,9,4,Life Sciences,2,Male,92,3,2,Sales Executive,4,Single,5253,20750,1,No,16,3,4,0,7,1,3,7,5,0,7,0,0,0.115,Low Risk,Stayed,Predicted Stay,-0.03372964099383807,0.003607597416903445,-0.013933995237453018,0.021741351119476348,-0.00803330990368977,-0.0088281114322308,-0.014592307014299876,0.006074783641533941,-0.0012025973124673327,-0.0020049404667497584
33,0,Travel_Frequently,430,Sales,7,3,Medical,4,Male,54,3,2,Sales Executive,1,Married,4373,17456,0,No,14,3,1,2,5,2,3,4,3,0,3,0,0,0.065,Low Risk,Stayed,Predicted Stay,-0.022844922489425698,-0.003304668127329933,-0.015432456675066533,-0.023922662462050538,-0.00833194800416095,-0.0035378697402688886,-0.019710889357747875,0.0011333423869541548,-0.010598850996800593,-0.012047077964211894
26,0,Travel_Frequently,1096,Research & Development,6,3,Other,3,Male,61,4,1,Laboratory Technician,4,Married,2544,7102,0,No,18,3,1,1,8,3,3,7,7,7,7,0,0,0.11,Low Risk,Stayed,Predicted Stay,-0.03810990076525741,0.02209853933650038,0.01062324703143986,-0.010997572193180077,-0.009706890282068344,-0.0015236146637903404,-0.02205214465485369,0.0037475848226245032,-0.006658246784029416,-0.003348784977829382
38,0,Travel_Rarely,345,Sales,10,2,Life Sciences,1,Female,100,3,2,Sales Executive,4,Married,5343,5982,1,No,11,3,3,1,10,1,3,10,7,1,9,0,0,0.09,Low Risk,Stayed,Predicted Stay,-0.015575092049330124,-0.013737034735308953,-0.016237748896783158,-0.009791049839718654,-0.009313616589704452,-0.004680156964391244,-0.00589635824477682,-0.002265537463563305,0.00030593080088465286,0.01171976202928363
35,0,Travel_Rarely,1402,Sales,28,4,Life Sciences,2,Female,98,2,1,Sales Representative,3,Married,2430,26204,0,No,23,4,1,2,6,5,3,5,3,4,2,0,0,0.1,Low Risk,Stayed,Predicted Stay,-0.033291585483466404,-0.011812104993466618,0.007678780781172918,-0.019475537647276723,-0.006421010071180717,-0.003244145020319138,-0.013173798805498791,0.003636574745087273,0.012019985639919923,0.0016151515357842071
35,0,Travel_Rarely,1258,Research & Development,1,4,Life Sciences,4,Female,40,4,1,Research Scientist,3,Single,2506,13301,3,No,13,3,3,0,7,0,3,2,2,2,2,0,0,0.115,Low Risk,Stayed,Predicted Stay,-0.03295003006214756,-0.010014624272153015,0.011336555434143065,0.015927604682374294,-0.00827238869370376,0.016883998763811404,-0.005129034458132082,0.0033963985136483644,-0.021500121009739814,-0.010735229679992244
37,0,Travel_Rarely,1225,Research & Development,10,2,Life Sciences,4,Male,80,4,1,Research Scientist,4,Single,4680,15232,3,No,17,3,1,0,4,2,3,1,0,0,0,0,0,0.11,Low Risk,Stayed,Predicted Stay,-0.02851760036648102,-0.02121764177728437,-0.008485477295396322,0.016925437827743507,0.021350840538925695,0.014066270480795992,-0.0035497985720280667,0.005225951318343505,0.0007976840578658084,-0.01563205633992311
40,0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,No,15,3,3,0,22,3,3,20,6,5,13,0,0,0.03,Low Risk,Stayed,Predicted Stay,-0.019287528911427217,-0.016430808138625252,-0.01765915052105356,0.011085081257269848,-0.017016506318627764,-0.010537909532704361,0.015439018854690402,-0.019288167483309734,-0.00816652058915679,-0.001470283181913601
31,1,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,Sales Executive,3,Married,4559,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2,1,0,0.275,Low Risk,Left,Predicted Stay,0.06140681085500546,0.0221954071660366,-0.017857009835079225,-0.030679993270057368,-0.004119263892898743,0.02135962775457983,-0.007014007907541781,0.005061192348841814,0.005374894876345024,0.005965594677206809
29,0,Travel_Rarely,657,Research & Development,27,3,Medical,2,Female,66,3,2,Healthcare Representative,3,Married,4335,25549,4,No,12,3,1,1,11,3,2,8,7,1,1,0,0,0.11,Low Risk,Stayed,Predicted Stay,-0.02329134910587527,0.01841121212968119,-0.01136589464437293,-0.020637498273335952,0.01653145025201411,-0.013547557640313243,-0.0003140872648009463,-2.9581464877992404e-05,0.010405338998416482,-0.003856408677429499
59,0,Travel_Rarely,326,Sales,3,3,Life Sciences,3,Female,48,2,2,Sales Executive,4,Single,5171,16490,5,No,17,3,4,0,13,2,3,6,1,0,5,0,0,0.165,Low Risk,Stayed,Predicted Stay,-0.01867551409250609,-0.003616411955017611,-0.0073325607905781,0.019432839083751787,-0.012682319744890265,-0.00396806760970776,0.025679727671297316,-0.006744006159690344,-0.011294458933632541,-0.003384061432761882
32,0,Travel_Rarely,601,Sales,7,5,Marketing,4,Male,97,3,2,Sales Executive,4,Married,9204,23343,4,No,12,3,3,1,7,3,2,4,3,0,3,0,0,0.07,Low Risk,Stayed,Predicted Stay,-0.02528039858594184,0.004099327200779043,-0.011182159032987329,-0.02448545099908188,-0.008219043960020827,-0.002546403318888224,-0.00047955632621324187,0.003801311352076482,-0.009746388900141482,-0.013487932930788702
33,0,Travel_Rarely,267,Research & Development,21,3,Medical,2,Male,79,4,1,Laboratory Technician,2,Married,2028,13637,1,No,18,3,4,3,14,6,3,14,11,2,13,0,0,0.1,Low Risk,Stayed,Predicted Stay,-0.024776632354662525,-0.0002732864286963377,0.024825997224879756,-0.012454788486666075,-0.015391072752227047,-0.007327032816026531,-0.008977031065787741,-0.007850983040225402,0.01310529220806984,-0.005403298509352225
